section,name_or_type,value_or_count,detail1,detail2
summary,neo4j_database,gof0n6,,
summary,id_filter,(entire database),,
summary,entity_nodes,141,,
summary,rel_edges_directed,313,,
relationship_type,DEFINES,117,,
relationship_type,USES,102,,
relationship_type,INTERACTS_WITH,31,,
relationship_type,REFERENCES,24,,
relationship_type,CALLS,17,,
relationship_type,IMPORTS,12,,
relationship_type,DEPENDS_ON,9,,
relationship_type,INHERITS,1,,
entity_kind,Function,40,,
entity_kind,Variable,34,,
entity_kind,Dependency,19,,
entity_kind,File,13,,
entity_kind,Module,12,,
entity_kind,Other,8,,
entity_kind,Service,7,,
entity_kind,Class,7,,
entity_kind,Database,1,,
kg_track,(null),141,,
summary,isolated_entity_count,0,,
summary,legacy_code_entity_nodes,0,,
summary,legacy_relation_edges,0,,
sample_high_degree,U_123/Vertex_Ai_Train.Py,Module,,25
sample_high_degree,U_123/Visualize_Gru_Only.Py,Module,,25
sample_high_degree,Grumodel,Class,,18
sample_high_degree,U_123/Test_Viz.Py,File,,17
sample_high_degree,U_123/Gru_Model.Py,Module,,16
sample_high_degree,Main,Function,,16
sample_high_degree,U_123/Get_Stream_Preds.Py,Module,,15
sample_high_degree,Bikesharedataset,Class,,14
sample_high_degree,Visualize_Model.Py,File,,14
sample_high_degree,U_123/Export_To_Gcs.Py,Module,,13
sample_high_degree,U_123/Streaming_Predict.Py,File,,13
sample_high_degree,Mongo_Uri,Variable,,12
sample_high_degree,U_123/Visualize_Model.Py,Module,,12
sample_high_degree,Mongodb,Database,,11
sample_high_degree,Google Cloud Storage,Service,,11
sample_high_degree,Sequence_Length,Variable,,10
sample_high_degree,U_123/Aggregation_Pipeline.Py,Module,,10
sample_high_degree,Pandas,Dependency,,10
sample_high_degree,Db_Name,Variable,,9
sample_high_degree,Load_Data_From_Mongodb,Function,,9
sample_high_degree,U_123/Visualize_Mixture_Model.Py,Module,,8
sample_high_degree,Visualize_Mixture_Model.Py,File,,8
sample_high_degree,U_123/Dags/Bike_Streaming_Dag.Py,Module,,8
sample_high_degree,Run_Ingest,Function,,8
sample_high_degree,U_123/Find_Worker_Results.Py,Module,,8
sample_high_degree,Collection_Name,Variable,,8
sample_high_degree,Google.Cloud.Storage,Dependency,,8
sample_high_degree,Create_Sequences,Function,,8
sample_high_degree,Load_Models_From_Gcs,Function,,7
sample_high_degree,Build_And_Push_Docker_Image,Function,,7
