section,name_or_type,value_or_count,detail1,detail2
summary,neo4j_database,wtnycf,,
summary,id_filter,(entire database),,
summary,entity_nodes,283,,
summary,rel_edges_directed,786,,
relationship_type,DEFINES,261,,
relationship_type,USES,258,,
relationship_type,IMPORTS,146,,
relationship_type,INTERACTS_WITH,47,,
relationship_type,CALLS,28,,
relationship_type,DEPENDS_ON,22,,
relationship_type,REFERENCES,19,,
relationship_type,INHERITS,4,,
relationship_type,CREATES,1,,
entity_kind,Variable,69,,
entity_kind,Function,53,,
entity_kind,Module,36,,
entity_kind,Dependency,34,,
entity_kind,File,28,,
entity_kind,Other,27,,
entity_kind,Class,27,,
entity_kind,Service,8,,
entity_kind,Database,1,,
kg_track,(null),283,,
summary,isolated_entity_count,1,,
unexpected_rel_type,CREATES,1,not_in_ALLOWED_REL_TYPES,
summary,legacy_code_entity_nodes,0,,
summary,legacy_relation_edges,0,,
sample_isolated_entity,Typing,Dependency,,
sample_high_degree,Visualize_Model.Py,File,,41
sample_high_degree,U_123/Test_Viz.Py,File,,36
sample_high_degree,Grumodel,Class,,32
sample_high_degree,Mixture_Model.Py,File,,29
sample_high_degree,Bikesharedataset,Class,,28
sample_high_degree,U_123/Get_Stream_Preds.Py,File,,26
sample_high_degree,Submit_Training_Job,Function,,25
sample_high_degree,Vertex_Ai_Train.Py,Module,,24
sample_high_degree,Visualize_Gru_Only.Py,File,,23
sample_high_degree,Gru_Model.Py,File,,23
sample_high_degree,Predict.Py,Module,,23
sample_high_degree,Mongodb,Database,,22
sample_high_degree,U_123/Streaming_Predict.Py,File,,22
sample_high_degree,Main,Function,,22
sample_high_degree,Google.Cloud.Storage,Dependency,,22
sample_high_degree,Pandas,Dependency,,21
sample_high_degree,Combine_Worker_Results.Py,File,,19
sample_high_degree,U_123/Vertex_Ai_Train.Py,File,,18
sample_high_degree,U_123/Visualize_Gru_Only.Py,File,,18
sample_high_degree,Mongo_Uri,Variable,,18
sample_high_degree,Google Cloud Storage,Service,,18
sample_high_degree,Bike_Streaming_Dag.Py,File,,17
sample_high_degree,Streaming_Predict.Py,File,,17
sample_high_degree,U_123/Export_To_Gcs.Py,File,,16
sample_high_degree,Db_Name,Variable,,16
sample_high_degree,Torch,Dependency,,16
sample_high_degree,Submit_Vertex_Ai_Job.Py,File,,16
sample_high_degree,U_123/Gru_Model.Py,Module,,15
sample_high_degree,U_123/Streaming_Ingest.Py,File,,15
sample_high_degree,Pickle,Dependency,,15
