,graph__edge_per_node,graph__entity_kind_count,graph__entity_kind_entropy,graph__entity_nodes,graph__isolated_entity_count,graph__isolation_rate,graph__kg_track_count,graph__rel_edges_directed,graph__rel_type_count,graph__rel_type_entropy,graph__top_rel_type_share,graph__unexpected_kind_total,graph__unexpected_rel_total,summary__entity_nodes,summary__isolated_entity_count,summary__legacy_code_entity_nodes,summary__legacy_relation_edges,summary__rel_edges_directed
graph__edge_per_node,1.0,,-0.2219219605974177,-0.7813717208720437,0.0541905285711002,0.06695630446932413,,-0.733944514018701,,0.6194137778110637,-0.7954419486102138,,,-0.7813717208720437,0.0541905285711002,,,-0.733944514018701
graph__entity_kind_count,,1.0,0.9973201776520624,0.9590985573459246,0.33218191941495995,,1.0,0.9661852145448344,1.0,0.9980787797213306,,,,0.9590985573459246,0.33218191941495995,,,0.9661852145448344
graph__entity_kind_entropy,-0.2219219605974177,0.9973201776520624,1.0,0.9677249467355289,0.2707813877910796,-0.8656968434645356,0.9973201776520624,0.9741436972255294,0.9973201776520624,0.9916463992727221,0.5485039435729723,,,0.9677249467355289,0.2707813877910796,,,0.9741436972255294
graph__entity_nodes,-0.7813717208720437,0.9590985573459246,0.9677249467355289,1.0,0.2327269720637622,-0.3320274008093543,0.9590985573459246,0.9994629575711499,0.9590985573459246,0.9439943408251559,0.9535138457385479,,,1.0,0.2327269720637622,,,0.9994629575711499
graph__isolated_entity_count,0.0541905285711002,0.33218191941495995,0.2707813877910796,0.2327269720637622,1.0,0.9993390434840654,0.33218191941495995,0.23799203533315738,0.33218191941495995,0.3614468343259948,-0.21503096744876615,,,0.2327269720637622,1.0,,,0.23799203533315738
graph__isolation_rate,0.06695630446932413,,-0.8656968434645356,-0.3320274008093543,0.9993390434840654,1.0,,-0.3510856161814291,,0.4999261200150155,-0.2161648160726626,,,-0.3320274008093542,0.9993390434840654,,,-0.3510856161814291
graph__kg_track_count,,1.0,0.9973201776520624,0.9590985573459246,0.33218191941495995,,1.0,0.9661852145448345,1.0,0.9980787797213304,,,,0.9590985573459246,0.33218191941495995,,,0.9661852145448345
graph__rel_edges_directed,-0.733944514018701,0.9661852145448344,0.9741436972255294,0.9994629575711499,0.23799203533315738,-0.3510856161814291,0.9661852145448345,1.0,0.9661852145448346,0.9523834102122344,0.9442739671484291,,,0.9994629575711499,0.23799203533315738,,,1.0
graph__rel_type_count,,1.0,0.9973201776520624,0.9590985573459246,0.33218191941495995,,1.0,0.9661852145448346,1.0,0.9980787797213304,,,,0.9590985573459246,0.33218191941495995,,,0.9661852145448345
graph__rel_type_entropy,0.6194137778110637,0.9980787797213306,0.9916463992727221,0.9439943408251559,0.3614468343259948,0.4999261200150155,0.9980787797213304,0.9523834102122344,0.9980787797213304,1.0,-0.861403738836747,,,0.9439943408251559,0.3614468343259948,,,0.9523834102122343
graph__top_rel_type_share,-0.7954419486102138,,0.5485039435729723,0.9535138457385479,-0.21503096744876615,-0.2161648160726626,,0.9442739671484291,,-0.861403738836747,1.0,,,0.953513845738547,-0.21503096744876574,,,0.9442739671484279
graph__unexpected_kind_total,,,,,,,,,,,,,,,,,,
graph__unexpected_rel_total,,,,,,,,,,,,,,,,,,
summary__entity_nodes,-0.7813717208720437,0.9590985573459246,0.9677249467355289,1.0,0.2327269720637622,-0.3320274008093542,0.9590985573459246,0.9994629575711499,0.9590985573459246,0.9439943408251559,0.953513845738547,,,1.0,0.2327269720637622,,,0.9994629575711499
summary__isolated_entity_count,0.0541905285711002,0.33218191941495995,0.2707813877910796,0.2327269720637622,1.0,0.9993390434840654,0.33218191941495995,0.23799203533315738,0.33218191941495995,0.3614468343259948,-0.21503096744876574,,,0.2327269720637622,1.0,,,0.23799203533315738
summary__legacy_code_entity_nodes,,,,,,,,,,,,,,,,,,
summary__legacy_relation_edges,,,,,,,,,,,,,,,,,,
summary__rel_edges_directed,-0.733944514018701,0.9661852145448344,0.9741436972255294,0.9994629575711499,0.23799203533315738,-0.3510856161814291,0.9661852145448345,1.0,0.9661852145448345,0.9523834102122343,0.9442739671484279,,,0.9994629575711499,0.23799203533315738,,,1.0
