section,name_or_type,value_or_count,detail1,detail2
summary,neo4j_database,cp399v,,
summary,id_filter,(entire database),,
summary,entity_nodes,211,,
summary,rel_edges_directed,535,,
relationship_type,DEFINES,192,,
relationship_type,IMPORTS,122,,
relationship_type,USES,120,,
relationship_type,INTERACTS_WITH,48,,
relationship_type,DEPENDS_ON,17,,
relationship_type,CALLS,15,,
relationship_type,REFERENCES,15,,
relationship_type,INHERITS,6,,
entity_kind,Function,48,,
entity_kind,Variable,47,,
entity_kind,Dependency,41,,
entity_kind,File,28,,
entity_kind,Class,25,,
entity_kind,Other,8,,
entity_kind,Service,7,,
entity_kind,Database,4,,
entity_kind,Module,3,,
kg_track,(null),211,,
summary,isolated_entity_count,1,,
summary,legacy_code_entity_nodes,0,,
summary,legacy_relation_edges,0,,
sample_isolated_entity,Streaming_Predictions,Variable,,
sample_high_degree,Grumodel,Class,,33
sample_high_degree,Visualize_Gru_Only.Py,File,,31
sample_high_degree,U_123/Predict.Py,File,,30
sample_high_degree,Test_Viz.Py,File,,29
sample_high_degree,U_123/Combine_Worker_Results.Py,File,,29
sample_high_degree,U_123/Gru_Model.Py,File,,27
sample_high_degree,U_123/Visualize_Model.Py,File,,26
sample_high_degree,Mongodb,Database,,25
sample_high_degree,U_123/Mixture_Model.Py,File,,23
sample_high_degree,U_123/Get_Stream_Preds.Py,File,,22
sample_high_degree,Google.Cloud.Storage,Dependency,,21
sample_high_degree,Bikesharedataset,Class,,20
sample_high_degree,Submit_Vertex_Ai_Job.Py,File,,19
sample_high_degree,U_123/Dags/Bike_Streaming_Dag.Py,File,,18
sample_high_degree,U_123/Export_To_Gcs.Py,File,,17
sample_high_degree,U_123/Streaming_Predict.Py,File,,17
sample_high_degree,U_123/Aggregation_Pipeline.Py,File,,16
sample_high_degree,Vertex_Ai_Train.Py,File,,15
sample_high_degree,Pandas,Dependency,,15
sample_high_degree,Google Cloud Storage,Service,,15
sample_high_degree,Torch,Dependency,,14
sample_high_degree,U_123/Streaming_Ingest.Py,File,,14
sample_high_degree,Main,Function,,13
sample_high_degree,Build_And_Push_Docker_Image,Function,,13
sample_high_degree,Torch.Nn,Dependency,,12
sample_high_degree,U_123/Find_Worker_Results.Py,File,,12
sample_high_degree,U_123/Visualize_Mixture_Model.Py,File,,12
sample_high_degree,Xgboost,Dependency,,11
sample_high_degree,Pickle,Dependency,,11
sample_high_degree,Os,Dependency,,10
