section,name_or_type,value_or_count,detail1,detail2
summary,neo4j_database,ddzekc,,
summary,id_filter,(entire database),,
summary,entity_nodes,292,,
summary,rel_edges_directed,725,,
relationship_type,DEFINES,303,,
relationship_type,USES,170,,
relationship_type,IMPORTS,136,,
relationship_type,INTERACTS_WITH,40,,
relationship_type,DEPENDS_ON,25,,
relationship_type,CALLS,25,,
relationship_type,REFERENCES,18,,
relationship_type,INHERITS,8,,
entity_kind,Variable,67,,
entity_kind,Function,62,,
entity_kind,Other,44,,
entity_kind,Dependency,42,,
entity_kind,Class,26,,
entity_kind,File,22,,
entity_kind,Module,18,,
entity_kind,Service,10,,
entity_kind,Database,1,,
kg_track,(null),292,,
summary,isolated_entity_count,0,,
summary,legacy_code_entity_nodes,0,,
summary,legacy_relation_edges,0,,
sample_high_degree,U_123/Test_Viz.Py,File,,37
sample_high_degree,Grumodel,Class,,30
sample_high_degree,U_123/Predict.Py,File,,30
sample_high_degree,Visualize_Model.Py,File,,30
sample_high_degree,Bikesharedataset,Class,,29
sample_high_degree,U_123/Get_Stream_Preds.Py,File,,29
sample_high_degree,Mixture_Model.Py,Module,,28
sample_high_degree,Visualize_Gru_Only.Py,File,,23
sample_high_degree,Vertex_Ai_Train.Py,Module,,22
sample_high_degree,Google.Cloud.Storage,Dependency,,22
sample_high_degree,Gru_Model.Py,File,,21
sample_high_degree,Mongodb,Database,,20
sample_high_degree,Export_To_Gcs.Py,File,,20
sample_high_degree,Submit_Vertex_Ai_Job.Py,File,,19
sample_high_degree,Streaming_Predict.Py,File,,19
sample_high_degree,Db_Name,Variable,,17
sample_high_degree,Combine_Worker_Results.Py,Module,,17
sample_high_degree,Bike_Streaming_Pipeline_Final,Other,,17
sample_high_degree,U_123/Find_Worker_Results.Py,Module,,17
sample_high_degree,Pandas,Dependency,,17
sample_high_degree,Mongo_Uri,Variable,,17
sample_high_degree,U_123/Streaming_Predict.Py,Module,,15
sample_high_degree,Build_And_Push_Docker_Image,Function,,15
sample_high_degree,Main,Function,,15
sample_high_degree,U_123/Gru_Model.Py,Module,,15
sample_high_degree,U_123/Aggregation_Pipeline.Py,File,,15
sample_high_degree,Os,Dependency,,15
sample_high_degree,Google Cloud Storage,Service,,14
sample_high_degree,Pickle,Dependency,,14
sample_high_degree,U_123/Export_To_Gcs.Py,File,,13
