section,name_or_type,value_or_count,detail1,detail2
summary,neo4j_database,kaymv7,,
summary,id_filter,(entire database),,
summary,entity_nodes,230,,
summary,rel_edges_directed,568,,
relationship_type,DEFINES,221,,
relationship_type,IMPORTS,124,,
relationship_type,USES,111,,
relationship_type,INTERACTS_WITH,53,,
relationship_type,DEPENDS_ON,20,,
relationship_type,CALLS,18,,
relationship_type,REFERENCES,17,,
relationship_type,INHERITS,4,,
entity_kind,Function,56,,
entity_kind,Variable,55,,
entity_kind,Dependency,41,,
entity_kind,File,34,,
entity_kind,Class,23,,
entity_kind,Service,8,,
entity_kind,Other,7,,
entity_kind,Database,4,,
entity_kind,Module,2,,
kg_track,(null),230,,
summary,isolated_entity_count,0,,
summary,legacy_code_entity_nodes,0,,
summary,legacy_relation_edges,0,,
sample_high_degree,U_123/Predict.Py,File,,32
sample_high_degree,Test_Viz.Py,File,,31
sample_high_degree,Mixture_Model.Py,File,,31
sample_high_degree,Grumodel,Class,,29
sample_high_degree,U_123/Get_Stream_Preds.Py,File,,27
sample_high_degree,U_123/Visualize_Model.Py,File,,26
sample_high_degree,U_123/Gru_Model.Py,File,,26
sample_high_degree,Visualize_Gru_Only.Py,File,,26
sample_high_degree,Mongodb,Database,,23
sample_high_degree,Google Cloud Storage,Service,,22
sample_high_degree,Bikesharedataset,Class,,20
sample_high_degree,U_123/Submit_Vertex_Ai_Job.Py,File,,18
sample_high_degree,U_123/Dags/Bike_Streaming_Dag.Py,File,,18
sample_high_degree,U_123/Streaming_Predict.Py,File,,17
sample_high_degree,Vertex_Ai_Train.Py,File,,17
sample_high_degree,Combine_Worker_Results.Py,File,,17
sample_high_degree,U_123/Find_Worker_Results.Py,File,,17
sample_high_degree,U_123/Export_To_Gcs.Py,File,,17
sample_high_degree,U_123/Aggregation_Pipeline.Py,File,,17
sample_high_degree,U_123/Streaming_Ingest.Py,File,,16
sample_high_degree,Pandas,Dependency,,15
sample_high_degree,Google.Cloud.Storage,Dependency,,15
sample_high_degree,Xgboost,Class,,14
sample_high_degree,Torch.Nn,Dependency,,13
sample_high_degree,Mongo_Uri,Variable,,12
sample_high_degree,Torch,Dependency,,12
sample_high_degree,Load_Models_From_Gcs,Function,,12
sample_high_degree,Gru,Class,,12
sample_high_degree,Pickle,Dependency,,11
sample_high_degree,Os,Dependency,,11
