section,name_or_type,value_or_count,detail1,detail2
summary,neo4j_database,mi77dh,,
summary,id_filter,(entire database),,
summary,entity_nodes,225,,
summary,rel_edges_directed,572,,
relationship_type,DEFINES,211,,
relationship_type,IMPORTS,127,,
relationship_type,USES,105,,
relationship_type,INTERACTS_WITH,58,,
relationship_type,DEPENDS_ON,26,,
relationship_type,CALLS,26,,
relationship_type,REFERENCES,15,,
relationship_type,INHERITS,4,,
entity_kind,Function,53,,
entity_kind,Variable,52,,
entity_kind,Dependency,51,,
entity_kind,File,33,,
entity_kind,Class,18,,
entity_kind,Service,10,,
entity_kind,Other,4,,
entity_kind,Module,3,,
entity_kind,Database,1,,
kg_track,(null),225,,
summary,isolated_entity_count,5,,
summary,legacy_code_entity_nodes,0,,
summary,legacy_relation_edges,0,,
sample_isolated_entity,Typing,Dependency,,
sample_isolated_entity,Minmaxscaler,Class,,
sample_isolated_entity,Standardscaler,Class,,
sample_isolated_entity,Labelencoder,Class,,
sample_isolated_entity,Train_Test_Split,Function,,
sample_high_degree,Test_Viz.Py,File,,31
sample_high_degree,Mongodb,Service,,31
sample_high_degree,Grumodel,Class,,28
sample_high_degree,Mixture_Model.Py,File,,28
sample_high_degree,U_123/Get_Stream_Preds.Py,File,,27
sample_high_degree,Predict.Py,File,,27
sample_high_degree,U_123/Gru_Model.Py,File,,27
sample_high_degree,Bikesharedataset,Class,,26
sample_high_degree,U_123/Visualize_Model.Py,File,,25
sample_high_degree,U_123/Combine_Worker_Results.Py,File,,22
sample_high_degree,Visualize_Gru_Only.Py,File,,22
sample_high_degree,U_123/Submit_Vertex_Ai_Job.Py,File,,19
sample_high_degree,U_123/Export_To_Gcs.Py,File,,19
sample_high_degree,U_123/Vertex_Ai_Train.Py,File,,18
sample_high_degree,U_123/Streaming_Predict.Py,File,,18
sample_high_degree,Google Cloud Storage,Service,,17
sample_high_degree,Google.Cloud.Storage,Dependency,,16
sample_high_degree,U_123/Dags/Bike_Streaming_Dag.Py,File,,15
sample_high_degree,U_123/Streaming_Ingest.Py,File,,14
sample_high_degree,Main,Function,,14
sample_high_degree,Pandas,Dependency,,14
sample_high_degree,Torch,Dependency,,14
sample_high_degree,Build_And_Push_Docker_Image,Function,,14
sample_high_degree,Submit_Training_Job,Function,,13
sample_high_degree,Os,Dependency,,12
sample_high_degree,Mongo_Uri,Variable,,12
sample_high_degree,Xgboost,Dependency,,12
sample_high_degree,U_123/Test_Model_Loading.Py,File,,11
sample_high_degree,Numpy,Dependency,,11
sample_high_degree,Db_Name,Variable,,11
