section,name_or_type,value_or_count,detail1,detail2
summary,neo4j_database,nbr1uw,,
summary,id_filter,(entire database),,
summary,entity_nodes,242,,
summary,rel_edges_directed,606,,
relationship_type,DEFINES,222,,
relationship_type,USES,128,,
relationship_type,IMPORTS,116,,
relationship_type,INTERACTS_WITH,64,,
relationship_type,DEPENDS_ON,34,,
relationship_type,CALLS,24,,
relationship_type,REFERENCES,13,,
relationship_type,INHERITS,5,,
entity_kind,Function,73,,
entity_kind,Variable,51,,
entity_kind,Dependency,37,,
entity_kind,File,31,,
entity_kind,Class,29,,
entity_kind,Service,8,,
entity_kind,Other,7,,
entity_kind,Database,4,,
entity_kind,Module,2,,
kg_track,(null),242,,
summary,isolated_entity_count,2,,
summary,legacy_code_entity_nodes,0,,
summary,legacy_relation_edges,0,,
sample_isolated_entity,Dataloader,Class,,
sample_isolated_entity,Train_Test_Split,Function,,
sample_high_degree,U_123/Predict.Py,File,,35
sample_high_degree,U_123/Mixture_Model.Py,File,,34
sample_high_degree,Test_Viz.Py,File,,32
sample_high_degree,Visualize_Gru_Only.Py,File,,30
sample_high_degree,U_123/Get_Stream_Preds.Py,File,,29
sample_high_degree,U_123/Visualize_Model.Py,File,,28
sample_high_degree,Grumodel,Class,,27
sample_high_degree,Mongodb,Database,,27
sample_high_degree,Bikesharedataset,Class,,23
sample_high_degree,Gru_Model.Py,File,,23
sample_high_degree,U_123/Submit_Vertex_Ai_Job.Py,File,,22
sample_high_degree,U_123/Streaming_Predict.Py,File,,21
sample_high_degree,U_123/Streaming_Ingest.Py,File,,21
sample_high_degree,Google.Cloud.Storage,Dependency,,20
sample_high_degree,U_123/Export_To_Gcs.Py,File,,20
sample_high_degree,Google Cloud Storage,Service,,19
sample_high_degree,U_123/Vertex_Ai_Train.Py,File,,18
sample_high_degree,Combine_Worker_Results.Py,File,,17
sample_high_degree,U_123/Find_Worker_Results.Py,File,,17
sample_high_degree,U_123/Dags/Bike_Streaming_Dag.Py,File,,15
sample_high_degree,U_123/Aggregation_Pipeline.Py,File,,15
sample_high_degree,Torch,Dependency,,14
sample_high_degree,Pandas,Dependency,,14
sample_high_degree,Os,Dependency,,13
sample_high_degree,Xgboost,Other,,13
sample_high_degree,Torch.Nn,Dependency,,13
sample_high_degree,Pickle,Dependency,,11
sample_high_degree,Build_And_Push_Docker_Image,Function,,10
sample_high_degree,Mongo_Uri,Variable,,10
sample_high_degree,Main,Function,,10
