section,name_or_type,value_or_count,detail1,detail2
summary,neo4j_database,ua0qnu,,
summary,id_filter,(entire database),,
summary,entity_nodes,221,,
summary,rel_edges_directed,571,,
relationship_type,DEFINES,201,,
relationship_type,USES,124,,
relationship_type,IMPORTS,121,,
relationship_type,INTERACTS_WITH,57,,
relationship_type,CALLS,28,,
relationship_type,DEPENDS_ON,22,,
relationship_type,REFERENCES,15,,
relationship_type,INHERITS,3,,
entity_kind,Function,52,,
entity_kind,Variable,50,,
entity_kind,Dependency,44,,
entity_kind,File,29,,
entity_kind,Class,20,,
entity_kind,Service,10,,
entity_kind,Other,7,,
entity_kind,Module,5,,
entity_kind,Database,4,,
kg_track,(null),221,,
summary,isolated_entity_count,0,,
summary,legacy_code_entity_nodes,0,,
summary,legacy_relation_edges,0,,
sample_high_degree,U_123/Visualize_Model.Py,File,,35
sample_high_degree,U_123/Test_Viz.Py,File,,33
sample_high_degree,U_123/Predict.Py,File,,31
sample_high_degree,Mongodb,Database,,30
sample_high_degree,U_123/Mixture_Model.Py,File,,29
sample_high_degree,Visualize_Gru_Only.Py,File,,29
sample_high_degree,Grumodel,Class,,29
sample_high_degree,U_123/Get_Stream_Preds.Py,File,,24
sample_high_degree,U_123/Combine_Worker_Results.Py,File,,24
sample_high_degree,Google Cloud Storage,Service,,23
sample_high_degree,Gru_Model.Py,File,,22
sample_high_degree,U_123/Export_To_Gcs.Py,File,,19
sample_high_degree,U_123/Submit_Vertex_Ai_Job.Py,File,,19
sample_high_degree,U_123/Streaming_Predict.Py,File,,18
sample_high_degree,U_123/Vertex_Ai_Train.Py,File,,18
sample_high_degree,U_123/Find_Worker_Results.Py,File,,17
sample_high_degree,Bikesharedataset,Class,,17
sample_high_degree,Load_Models_From_Gcs,Function,,16
sample_high_degree,Pandas,Dependency,,16
sample_high_degree,U_123/Streaming_Ingest.Py,File,,15
sample_high_degree,Main,Function,,15
sample_high_degree,U_123/Dags/Bike_Streaming_Dag.Py,File,,15
sample_high_degree,Google.Cloud.Storage,Dependency,,15
sample_high_degree,Xgboost,Dependency,,15
sample_high_degree,U_123/Aggregation_Pipeline.Py,File,,15
sample_high_degree,Build_And_Push_Docker_Image,Function,,13
sample_high_degree,U_123/Visualize_Mixture_Model.Py,File,,13
sample_high_degree,Os,Dependency,,12
sample_high_degree,Submit_Training_Job,Function,,12
sample_high_degree,Db_Name,Variable,,11
